execution_position,tcs_id,menu,estimated_cost,is_initial_seed,predicted_mean,predicted_std,acquisition,confirmed_bug_dummy,cumulative_bugs,cumulative_cost
59,FC-REG-003,Register,15.0,False,-0.09587180311357457,0.19676939041408847,0.076208457211715,0,13,504.0
60,FC-REG-005,Register,13.0,False,-0.09587131625354894,0.16272934690133004,0.06769950049332837,0,13,517.0
61,FC-NCG-004,Buat Chat Baru,12.0,False,-0.13951477569885107,0.15531923751477167,0.06725520269211063,0,13,529.0
62,FC-LGN-007,Login,14.0,False,0.011694799814955026,0.16018545197505446,0.06734261096919616,0,13,543.0
63,FC-CRG-002,Ruang Obrolan,12.0,False,-0.06312970372589177,0.15177353328368604,0.06571986772289758,0,13,555.0
64,FC-REG-002,Register,9.0,False,-0.0074951223011749946,0.1307252509244567,0.06536262546222835,0,13,564.0
65,FC-NCU-002,Buat Chat Baru,12.0,False,-0.1013040393613327,0.1433741191780114,0.06208281472668778,0,13,576.0
66,FC-PRF-002,Profil Pengguna,14.0,False,-0.0954238189273715,0.1500062792403044,0.06013629672663852,0,13,590.0
67,FC-CRG-005,Ruang Obrolan,15.0,False,-0.14897560088066086,0.1377184280487624,0.05333811782987211,0,13,605.0
68,FC-LGN-005,Login,15.0,False,-0.07088154881396846,0.13605663719779382,0.052694509000803996,0,13,620.0
69,FC-LGN-002,Login,12.0,False,-0.058795062237603446,0.07508373820734286,0.03251221234932959,0,13,632.0
